,Split,Lam_fair,Type,Accuracy,Unfairness,Ploss,Relaxation
618,4,1.22,Train,0.49425968527793884,-0.4955781102180481,94666.0625,-283188.53125
619,4,1.22,Test,0.48020896315574646,-0.46648430824279785,98131.6484375,-280312.75
620,0,1.24,Train,0.4862925708293915,-0.4821062684059143,192311.3125,-570677.375
621,0,1.24,Test,0.49547919631004333,-0.49418896436691284,196719.328125,-573796.5625
622,1,1.24,Train,0.4868863821029663,-0.4907933473587036,47900.9375,-141519.546875
623,1,1.24,Test,0.4780992567539215,-0.49082323908805847,47789.0390625,-139338.078125
624,2,1.24,Train,0.4837687909603119,-0.4863619804382324,48313.5390625,-141057.84375
625,2,1.24,Test,0.4767932593822479,-0.5122013688087463,46726.69140625,-142325.734375
626,3,1.24,Train,0.48505541682243347,-0.4878672957420349,48206.421875,-142347.984375
627,3,1.24,Test,0.48573437333106995,-0.4938373565673828,48372.4921875,-142991.453125
628,4,1.24,Train,0.49425968527793884,-0.4955781102180481,94666.0703125,-283188.53125
629,4,1.24,Test,0.48020896315574646,-0.46648430824279785,98131.65625,-280312.75
630,0,1.26,Train,0.4862925708293915,-0.4821062684059143,192311.328125,-570677.3125
631,0,1.26,Test,0.49547919631004333,-0.49418896436691284,196719.34375,-573796.5625
632,1,1.26,Train,0.48461005091667175,-0.49286437034606934,50300.578125,-148126.40625
633,1,1.26,Test,0.4755876958370209,-0.49062347412109375,50189.06640625,-145829.96875
634,2,1.26,Train,0.4837687909603119,-0.4863619804382324,48313.54296875,-141057.859375
635,2,1.26,Test,0.4767932593822479,-0.5122013688087463,46726.69921875,-142325.75
636,3,1.26,Train,0.48505541682243347,-0.4878672957420349,48206.42578125,-142347.984375
637,3,1.26,Test,0.48573437333106995,-0.4938373565673828,48372.49609375,-142991.46875
638,4,1.26,Train,0.49425968527793884,-0.4955781102180481,94666.0859375,-283188.5625
639,4,1.26,Test,0.48020896315574646,-0.46648430824279785,98131.6640625,-280312.75
640,0,1.28,Train,0.4837687909603119,-0.4840813875198364,201744.5,-596693.5625
641,0,1.28,Test,0.49236488342285156,-0.4970337152481079,206312.875,-599939.8125
642,1,1.28,Train,0.48461005091667175,-0.49286437034606934,50300.58203125,-148126.421875
643,1,1.28,Test,0.4755876958370209,-0.49062347412109375,50189.07421875,-145829.96875
644,2,1.28,Train,0.4810965955257416,-0.4856153130531311,50710.73828125,-147540.90625
645,2,1.28,Test,0.4738798439502716,-0.51386559009552,49049.6328125,-148884.203125
646,3,1.28,Train,0.4826306402683258,-0.4898734390735626,50573.21484375,-148848.28125
647,3,1.28,Test,0.48382559418678284,-0.4966440498828888,50747.5625,-149531.375
648,4,1.28,Train,0.4905482828617096,-0.5002591013908386,101754.2890625,-302925.4375
649,4,1.28,Test,0.4771950840950012,-0.4671289920806885,105483.5078125,-299837.34375
650,0,1.3,Train,0.4837687909603119,-0.4840813875198364,201744.5,-596693.5625
651,0,1.3,Test,0.49236488342285156,-0.4970337152481079,206312.875,-599939.8125
652,1,1.3,Train,0.48193785548210144,-0.4965304732322693,52696.05078125,-154729.953125
653,1,1.3,Test,0.47367891669273376,-0.4908595681190491,52584.53125,-152318.296875
654,2,1.3,Train,0.4810965955257416,-0.4856153130531311,50710.73828125,-147540.90625
655,2,1.3,Test,0.4738798439502716,-0.51386559009552,49049.640625,-148884.203125
656,3,1.3,Train,0.4826306402683258,-0.4898734390735626,50573.21484375,-148848.28125
657,3,1.3,Test,0.48382559418678284,-0.4966440498828888,50747.5703125,-149531.390625
658,4,1.3,Train,0.4905482828617096,-0.5002591013908386,101754.2890625,-302925.4375
659,4,1.3,Test,0.4771950840950012,-0.4671289920806885,105483.5078125,-299837.34375
